id,Date/Time,Region,Latitude,Longitude,Speed,Direction,
94,11/07/2024 17:17,France Inshore,50.94464,1.731783,1,92,
95,11/07/2024 17:27,France Inshore,50.9444,1.734265,12,124,
96,11/07/2024 17:38,France Inshore,50.94556,1.733883,23,24,
97,11/07/2024 17:46,France Inshore,50.94974,1.71159,89,306,
98,11/07/2024 17:57,France Inshore,50.96521,1.675572,88,305,
99,11/07/2024 18:08,France Inshore,50.97783,1.640987,91,298,
100,11/07/2024 18:17,NE Lane,50.99011,1.612303,92,299,
101,11/07/2024 18:28,NE Lane,51.00465,1.578822,82,306,
102,11/07/2024 18:37,NE Lane,51.01619,1.552778,80,304,
103,11/07/2024 18:47,Separation Zone,51.03017,1.519958,8,303,
104,11/07/2024 18:57,SW Lane,51.04249,1.49171,82,304,
105,11/07/2024 19:06,SW Lane,51.05478,1.463108,81,303,
106,11/07/2024 19:17,SW Lane,51.06897,1.43041,76,314,
107,11/07/2024 19:27,England Inshore,51.08189,1.400492,81,304,
108,11/07/2024 19:38,England Inshore,51.09513,1.36934,87,305,
109,11/07/2024 19:47,England Inshore,51.10883,1.338268,91,311,
110,11/07/2024 19:57,England Inshore,51.11905,1.316572,39,288,
111,11/07/2024 20:05,England Inshore,51.1194,1.3155,0,,
112,11/07/2024 20:17,England Inshore,51.11908,1.316805,40,113,
113,11/07/2024 20:24,England Inshore,51.11784,1.317732,0,,
